date,p_hold,p_cut25,p_hike25,expected_change_pp
2023-06-21,,,,-0.0467999999999992
2023-09-20,,,,-0.0914000000000001
2023-12-20,,,,-0.1105999999999998
2024-03-20,,,,-0.1824000000000003
2024-06-19,,,,-0.1513999999999997
2024-09-18,,,,-0.5937999999999999
2024-12-18,,,,-0.3696000000000001
2025-03-19,,,,-0.2074999999999995
2025-06-18,,,,-0.1900000000000004
2025-09-17,,,,-0.4870000000000001
2025-12-17,,,,-0.0375
2026-01-28,0.82,0.18,0.0,-0.045
2026-03-18,,,,-0.0625
2026-04-29,0.72,0.28,0.0,-0.07
2026-06-17,0.448,0.552,0.0,-0.138
2026-07-29,0.712,0.288,0.0,-0.072
2026-09-16,0.656,0.344,0.0,-0.086
2026-10-28,0.844,0.156,0.0,-0.039
2026-12-09,0.86,0.14,0.0,-0.035
